EMAIL,COMPANY,COUNTRY,SEGMENT,SUBTYPE,PRIORITY,EMAILTYPE,DEMOLINK,WEBSITE
info@powerhut.co.tz,PowerHut Renewables Limited,Tanzania,Solar & mini-grids,Mini-grid developer/operator,A,Company inbox,/demo?industry=solar&client=PowerHut%20Renewables%20Limited,https://powerhut.co.tz/
sales@safi-power.com,Safi Power,Kenya,Solar & mini-grids,C&I solar / EPC,A,Company inbox,/demo?industry=solar&client=Safi%20Power,https://safi-power.com/
info@solar-om.co.za,Solar O&M South Africa,South Africa,Solar & mini-grids,Solar O&M,A,Company inbox,/demo?industry=solar&client=Solar%20O%26M%20South%20Africa,https://www.solar-om.co.za/
info@solareff.co.za,Solareff,South Africa,Solar & mini-grids,Solar O&M,A,Company inbox,/demo?industry=solar&client=Solareff,https://www.solareff.co.za/
info@wilkinsengineering.com,Wilkins Engineering Limited,Ghana,Solar & mini-grids,C&I solar / EPC,A,Company inbox,/demo?industry=solar&client=Wilkins%20Engineering%20Limited,https://wilkinsengineering.com/
auduimonikheandco@gmail.com,Audu Imonikhe & Co,Nigeria,Facility management,Property / estate FM,B,Free-mail inbox,/demo?industry=facilities&client=Audu%20Imonikhe%20%26%20Co,https://auduimonikheandco.com/
info@betacoolltd.com,Betacool Engineering Limited,Nigeria,Facility management,HVAC maintenance,B,Company inbox,/demo?industry=facilities&client=Betacool%20Engineering%20Limited,https://betacoolltd.com/
info@bloompfm.com,Bloom Projects and Facilities Management (Bloom PFM),Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Bloom%20Projects%20and%20Facilities%20Management,https://bloompfm.com/
bpl@rtbriscoe.com,Briscoe Properties Limited,Nigeria,Facility management,Property / estate FM,B,Company inbox,/demo?industry=facilities&client=Briscoe%20Properties%20Limited,https://briscoeproperties.com/
info@chrelectmep.com,Chrelect Limited,Nigeria,Facility management,MEP maintenance,B,Company inbox,/demo?industry=facilities&client=Chrelect%20Limited,https://chrelectmep.com/
info@cxallng.com,Cxall Facilities & Management Services Limited,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Cxall%20Facilities%20%26%20Management%20Services%20Limited,https://cxallng.com/
info@ekomaintenance.com,Eko Maintenance Ltd,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Eko%20Maintenance%20Ltd,https://www.ekomaintenance.com/
info@essentialfacilitymgt.com,Essential Facility Management,Nigeria,Facility management,Property / estate FM,B,Company inbox,/demo?industry=facilities&client=Essential%20Facility%20Management,https://essentialfacilitymgt.com/
info@greenfacilitiesltd.com,Green Facilities Limited,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Green%20Facilities%20Limited,https://greenfacilitiesltd.com/
info@greenboxfacilities.com,GreenBox Facilities Limited,Nigeria,Facility management,MEP maintenance,B,Company inbox,/demo?industry=facilities&client=GreenBox%20Facilities%20Limited,https://greenboxfacilities.com/
info@ikonfacilities.com,IKON Facilities Limited,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=IKON%20Facilities%20Limited,https://ikonfacilities.com/
info@marvelhomespm.com,Marvel Homes Property Management,Nigeria,Facility management,Property / estate FM,B,Company inbox,/demo?industry=facilities&client=Marvel%20Homes%20Property%20Management,https://www.marvelhomespm.com/
info@maxmigold.com,Max-Migold Ltd,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Max-Migold%20Ltd,https://maxmigold.com/
info@mosaicmanagementltd.com,Mosaic Management Ltd,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Mosaic%20Management%20Ltd,https://mosaicmanagementltd.com/
contact@oviswift.com,Oviswift Engineering & Consultancy Limited,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Oviswift%20Engineering%20%26%20Consultancy%20Limited,https://oviswift.com/
primecooltech.ng@gmail.com,PrimeCool Tech Ltd,Nigeria,Facility management,HVAC maintenance,B,Free-mail inbox,/demo?industry=facilities&client=PrimeCool%20Tech%20Ltd,https://primecooltech.ng/
info@principalfml.com,Principal Facilities Management Limited (PFML),Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Principal%20Facilities%20Management%20Limited,https://principalfml.com/
info@provastltd.com,Provast Limited,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Provast%20Limited,https://provastltd.com/
info@prysmfacilities.com,Prysm Facility Services Limited,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Prysm%20Facility%20Services%20Limited,https://prysmfacilities.com/
business.rpfacilities@gmail.com,RP Facilities Limited,Nigeria,Facility management,Integrated FM,B,Free-mail inbox,/demo?industry=facilities&client=RP%20Facilities%20Limited,https://www.rpfacilities.com/
info@aoc-group.net,Rhapsody FM (AOC Real Estate Group),Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Rhapsody%20FM,https://rhapsodyfm.com/
helpdesk@sefacilities.com,SolidEdge Facilities Services Limited,Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=SolidEdge%20Facilities%20Services%20Limited,https://sefacilities.com/
info@tfmlconsultant.com,Total Facilities Management Limited (TFML),Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Total%20Facilities%20Management%20Limited,https://www.tfmlconsultant.com/
info@updcfm.com,UPDC Facility Management Ltd (UPDCFM),Nigeria,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=UPDC%20Facility%20Management%20Ltd,https://updcfm.com/
info@alexoll.com,Alexoll Energy Solutions,Nigeria,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Alexoll%20Energy%20Solutions,https://alexoll.com
info@eauxwell.com,Eauxwell Nigeria,Nigeria,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Eauxwell%20Nigeria,https://eauxwell.com
customercare@gennextechnologies.com,Gennex Technologies,Nigeria,Solar & mini-grids,Residential & small commercial installer,B,Company inbox,/demo?industry=solar&client=Gennex%20Technologies,https://gennextechnologies.com
Info@hakunasolar.com,HakunaSolar,Nigeria,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=HakunaSolar,https://hakunasolar.com
info@solarforcenigeria.com,Solar Force Nigeria,Nigeria,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Solar%20Force%20Nigeria,https://www.solarforcenigeria.com
info@bestcareservices.co.ke,Bestcare Facilities Management Services,Kenya,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Bestcare%20Facilities%20Management%20Services,https://bestcareservices.co.ke/
ccfm@chezo.africa,C & C Facilities Management,Ghana,Facility management,Property / estate FM,B,Company inbox,/demo?industry=facilities&client=C%20%26%20C%20Facilities%20Management,https://cleaning.chezo.africa/
info@cyusatech.com,CYUSA Technology Africa,Rwanda,Facility management,HVAC maintenance,B,Company inbox,/demo?industry=facilities&client=CYUSA%20Technology%20Africa,https://cyusatech.com/
info@deprissgrp.co.ke,Depriss Facilities Management (Depriss Group),Kenya,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Depriss%20Facilities%20Management,https://deprissgrp.co.ke/
info@emdad-fm.com,Emdad Facility Management,Egypt,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Emdad%20Facility%20Management,https://emdad-fm.com/
info@expertech-eg.com,ExperTech FM,Egypt,Facility management,MEP maintenance,B,Company inbox,/demo?industry=facilities&client=ExperTech%20FM,https://expertech-eg.com/
info@fidesgroupgh.com,Fides Group,Ghana,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Fides%20Group,https://www.fidesgroupgh.com/
support@gna.co.ke,GNA Real Estate,Kenya,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=GNA%20Real%20Estate,https://gna.co.ke/
tunga@greenspace.rw,Green Space Ltd,Rwanda,Facility management,Integrated FM,B,Named person,/demo?industry=facilities&client=Green%20Space%20Ltd,https://greenspace.rw/
Info@hom-egypt.com,H.O.M Egypt,Egypt,Facility management,HVAC maintenance,B,Company inbox,/demo?industry=facilities&client=H.O.M%20Egypt,https://hom-egypt.com/
info@handymenaccra.com,Handymen Accra,Ghana,Facility management,HVAC maintenance,B,Company inbox,/demo?industry=facilities&client=Handymen%20Accra,https://handymenaccra.com/
info@harvestfacilities.com,Harvest Facility Management Ltd,Kenya,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Harvest%20Facility%20Management%20Ltd,https://harvestfacilities.com/
info@hotarctic.co.ke,HotArctic Heating and Cooling,Kenya,Facility management,HVAC maintenance,B,Company inbox,/demo?industry=facilities&client=HotArctic%20Heating%20and%20Cooling,https://hotarctic.co.ke/
info@kelmenggh.com,Kelm Engineering Ghana Ltd,Ghana,Facility management,MEP maintenance,B,Company inbox,/demo?industry=facilities&client=Kelm%20Engineering%20Ghana%20Ltd,https://www.kelmenggh.com/
info@kleenair.co.tz,Kleenair Tanzania,Tanzania,Facility management,HVAC maintenance,B,Company inbox,/demo?industry=facilities&client=Kleenair%20Tanzania,https://www.kleenair.co.tz/
info@prestigehvacghltd.com,Prestige HVAC Ghana Ltd,Ghana,Facility management,HVAC maintenance,B,Company inbox,/demo?industry=facilities&client=Prestige%20HVAC%20Ghana%20Ltd,https://prestigehvacghltd.com/
info@standardsfm.com,Standards Projects and Facility Management,Egypt,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Standards%20Projects%20and%20Facility%20Management,https://standardsfm.com/
info@tefla.co.za,TEFLA Group (Tefla Facilities Management),South Africa,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=TEFLA%20Group,https://tefla.co.za/
contact@thais.ma,THAIS (Tenor Group),Morocco,Facility management,Property / estate FM,B,Company inbox,/demo?industry=facilities&client=THAIS,https://thais.ma/
info@together-fm.com,Together FM,Egypt,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Together%20FM,https://www.together-fm.com/
info@tukole.africa,Tukole,Uganda,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Tukole,https://www.tukole.africa/
info@villacarekenya.com,Villa Care Kenya,Kenya,Facility management,Integrated FM,B,Company inbox,/demo?industry=facilities&client=Villa%20Care%20Kenya,https://villacarekenya.com/
info@wemaintaingh.com,WE-MAINTAIN Property Services,Ghana,Facility management,Property / estate FM,B,Company inbox,/demo?industry=facilities&client=WE-MAINTAIN%20Property%20Services,https://wemaintaingh.com/
sales@aptechafrica.com,Aptech Africa Ltd,Uganda,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Aptech%20Africa%20Ltd,https://www.aptechafrica.com/
info@cpsolar.co.ke,CP Solar Resources Limited,Kenya,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=CP%20Solar%20Resources%20Limited,https://www.cpsolar.co.ke/
info@dengltd.com,DENG Limited,Ghana,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=DENG%20Limited,https://www.dengltd.com/
info@greenlink-regen.com,Greenlink ReGen,Tanzania,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Greenlink%20ReGen,https://greenlink-regen.com/
info@imexolutions.co.ke,Imexolutions,Kenya,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Imexolutions,https://www.imexolutions.co.ke/
talk2us@ofgen.africa,OFGEN Africa,Kenya,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=OFGEN%20Africa,https://ofgen.africa/
info@ozosolar.com,Ozo Solar Limited,Ghana,Solar & mini-grids,Residential & small commercial installer,B,Company inbox,/demo?industry=solar&client=Ozo%20Solar%20Limited,https://www.ozosolar.com/
info@plexus-energy.co.ke,Plexus Energy Limited,Kenya,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Plexus%20Energy%20Limited,https://www.plexus-energy.co.ke/
info@renewvia.com,Renewvia Energy,Kenya,Solar & mini-grids,Mini-grid developer/operator,B,Company inbox,/demo?industry=solar&client=Renewvia%20Energy,https://www.renewvia.com/
info@solagroup.co.za,SOLA Group,South Africa,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=SOLA%20Group,https://solagroup.co.za/
info@solarepc.co.za,Solar EPC (Pty) Ltd,South Africa,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Solar%20EPC,https://www.solarepc.co.za/
info@solarafrica.com,SolarAfrica,South Africa,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=SolarAfrica,https://solarafrica.com/
info@solarxgen.com,SolarXgen,South Africa,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=SolarXgen,https://solarxgen.co.za/
info@solargentechnologies.com,Solargen Technologies Ltd,Kenya,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Solargen%20Technologies%20Ltd,https://solargentechnologies.com/
info@specializedsolarsystems.co.za,Specialized Solar Systems,South Africa,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Specialized%20Solar%20Systems,https://specializedsolarsystems.co.za/
jordan@sunbirdsolar.co.za,Sunbird Solar,South Africa,Solar & mini-grids,C&I solar / EPC,B,Named person,/demo?industry=solar&client=Sunbird%20Solar,https://sunbirdsolar.co.za/
contact@sps.africa,Sustainable Power Solutions (SPS),South Africa,Solar & mini-grids,C&I solar / EPC,B,Company inbox,/demo?industry=solar&client=Sustainable%20Power%20Solutions,https://sps.africa/
info@9solar.ng,9Solar,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=9Solar,https://9solar.ng
info@auxanosolar.com,Auxano Solar,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Auxano%20Solar,https://auxanosolar.com
info@cloudenergy.com.ng,Cloud Energy Photoelectric Ltd,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Cloud%20Energy%20Photoelectric%20Ltd,https://cloudenergy.com.ng
info@consistent-energy.com,Consistent Energy Ltd,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Consistent%20Energy%20Ltd,https://www.consistent-energy.com
info@creedsenergy.com,Creeds Energy,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Creeds%20Energy,https://creedsenergy.com
hello@daystar-power.com,Daystar Power,Nigeria,Solar & mini-grids,C&I solar / EPC,C,Company inbox,/demo?industry=solar&client=Daystar%20Power,https://www.daystar-power.com
sales@energyexcell.com,Energy Excell Systems and Solutions,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Energy%20Excell%20Systems%20and%20Solutions,https://www.energyexcell.com
enerplaz@yahoo.com,Enerplaz,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Free-mail inbox,/demo?industry=solar&client=Enerplaz,https://www.enerplaz.com
shs@greenpowernig.com,GreenPower Overseas Limited,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=GreenPower%20Overseas%20Limited,https://greenpower.ng
info@salphaenergy.com,Salpha Energy,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Salpha%20Energy,https://salphaenergy.com
solar@solyntaenergy.com,Solynta Energy,Nigeria,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Solynta%20Energy,https://www.solyntaenergy.com
info@starsightenergy.com,Starsight Energy,Nigeria,Solar & mini-grids,C&I solar / EPC,C,Company inbox,/demo?industry=solar&client=Starsight%20Energy,https://starsightenergy.com
info@kusoya.com,Kusoya Limited,Kenya,Facility management,Integrated FM,C,Company inbox,/demo?industry=facilities&client=Kusoya%20Limited,https://www.kusoya.com/
info@naikosolar.com,Naiko Engineering,Ghana,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Naiko%20Engineering,https://naikosolar.com/
info@translightsolar.com,Translight Solar Ltd,Ghana,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Translight%20Solar%20Ltd,https://translightsolar.com/
sales@versofy.energy,Versofy,South Africa,Solar & mini-grids,Residential & small commercial installer,C,Company inbox,/demo?industry=solar&client=Versofy,https://www.versofy.energy/
